Homo sapiens,Caenorhabditis elegans,Relations,ID
10067,171756,n:1,
57657,175527,01:01,
5313,172744,n:m,
5313,177984,n:m,950594
2224,173075,01:01,
7818,174631,01:01,
6746,177881,1:m,
6746,180422,1:m,731371
56893,172434,n:1,
HUMAN01840,179177,01:01,543718
64218,171727,n:1,
9673,172478,01:01,769038
7203,173581,01:01,584367
57127,179606,n:1,
128239,173294,n:1,
128240,CAEEL02565,01:01,
51093,172945,01:01,935698
79590,172204,01:01,
3645,175410,n:1,595264
9826,184419,n:1,
55243,180555,n:1,
8407,172660,n:m,
8407,173424,n:m,
93183,174736,01:01,900731
477,179796,n:1,
844,181563,n:1,
5824,176239,01:01,
1314,171860,01:01,593680
23385,172905,01:01,
57216,180579,n:1,
5202,173768,01:01,822383
4817,176628,01:01,
51506,176313,01:01,957690
8703,190668,n:1,
4720,188912,1:m,
4720,181646,1:m,891357
84134,174431,n:1,
9970,183613,01:01,
6391,260040,01:01,959615
11266,177903,01:01,
6675,175497,n:1,820740
4921,180622,01:01,
83540,175813,01:01,
223,185679,1:m,
223,176056,1:m,530737
HUMAN02070,174352,01:01,537847
7371,178160,n:1,
57645,CAEEL13352,01:01,707637
25874,171957,01:01,
261726,176106,01:01,
375035,3565210,n:1,
481,182726,n:m,
481,181494,n:m,
10560,179544,n:1,884934
22920,CAEEL08054,01:01,923497
149281,171590,n:1,
2328,176491,n:m,
2328,177954,n:m,
2328,177958,n:m,
2328,178596,n:m,
2328,179845,n:m,
2327,176491,n:m,
2327,177954,n:m,
2327,177958,n:m,
2327,178596,n:m,
2327,179845,n:m,
2329,176491,n:m,
2329,177954,n:m,
2329,177958,n:m,
2329,178596,n:m,
2329,179845,n:m,
51603,177431,01:01,838876
26052,181644,n:1,
5279,177765,01:01,933684
9588,176837,01:01,958027
27252,172012,01:01,596745
55157,3565124,01:01,913139
9910,180444,01:01,
6646,181681,n:1,894028
5768,178168,n:m,
5768,180538,n:m,951564
5768,180664,n:m,
84320,176800,01:01,594495
9213,CAEEL08837,01:01,920416
777,CAEEL18425,n:1,
2752,178452,01:01,871596
1660,174417,01:01,938775
3915,180980,n:1,
10092,171882,n:m,
10092,183522,n:m,
23179,180611,01:01,
23127,3565069,n:1,
80267,181210,01:01,722680
10625,181410,01:01,
83872,CAEEL19587,01:01,
54953,175950,01:01,
5132,190455,n:1,756980
5996,190409,1:m,
